Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1
In re Winship,397 U.S. 358,1970,"A 12-year old boy was found to have stolen money. The judge who sent this boy to 6 years of juvenile confinement said that his determination was based on a “preponderance of the evidence.” This means that the evidence presented by one side is more convincing or persuasive than the evidence presented by the opposing side. This standard of proof is lower than ""beyond a reasonable doubt,"" which is the standard typically required in criminal trials where a person's liberty is at stake. It established the fact that a juvenile facing the potential loss of liberty needs to have the same standard as required in adult criminal trials. ","Used in the Dissent, Black uses the term ordered liberty to express how OL may be overused in determining what does/doesn’t follow “natural law due process.” Alongside OL, terms like ""shocks its conscience,"" Black says the court is stepping over the limited powers that the government gave them. Due process of law in this case was given, “an unjustifiably broad interpretation” ",0,Black,3,1,1,-,due process,1,-,1,1,0,Palko v. Connecticut
Illinois v Allen,397 U.S. 337,1970,"Allen was charged for armed robbery. During his trial, he had bbeen disruptive to the court procedure, using vile and vulgar language, and he was warned and then removed from the court procedings twice. Is it unconstitutional for a judge to remove a defendant for misconduct from his trial when warned of such removal if his behavior is repeated? The majority opinion ruled that it was constitutional.","In his concurring opinion, Justice Brennan stresses that the state's right to bring a person to trial is foundational to ordered liberty and achieving social justice.",1,Brennan,2,0,-,-,state right,1,-,1,1,1,-
Williams v. Florida,399 U.S. 78,1984,"Supreme Court upheld Florida's practice of allowing criminal trials by jury of six members rather than the traditional twelve. The Court reasoned that the Sixth Amendment does not say a specific number of jurors, the jury just needs to be impartial. So, it did not violate the Sixth Amendment because it provided a fair and impartial trial.","In a dissent, Harlan uses “ordered liberty” to compare the more significant idea in this case ""selective incorporation.” The term is used once to help define the due process approach, which he states considers whether the right alleged is implicit in the concept of ordered liberty. ",1,Harlan,3,1,1,-,due process,-,-,-,-,-,Palko v. Connecticut
Boddie vs Connecticut,401 U.S. 371,1971,"Plaintiffs (people who could not afford the fees to file for divorce in Connecticut) argued that the state's requirement of the fees for divorce denied them access to the court system, which was a violation of their rights under the Due Process Clause of the 14th amendment. Question of the case: could the state require fees from individuals unable to pay them? Court ruled in favor of plaitiffs. ",Ordered liberty was used to anlayze the fundamental right of access to the courts (prohibited with the fees that these individuals could not pay). Court's decision that these fees violated the Due Process Clause shows that access to legal processes is essential in maintaining ordered liberty. Individuals shoudl be able to exercise their right without unrightful government interference. ,1,Harlan,2,1,-,-,due process,1,-,1,1,1 (but concurring),Palko v. Connecticut
Williams v. United States,401 U.S. 646,1971,Heroin found in Claernce Williams home was admitted at his trial when he was arrestsed ad he was convicted of concelaing illegally imported heroin. He argued that the search of his house was illegal under Chimel v California (case that narrowed the scope of searches incidental to an arrest) but The Court ruled that Chimel did not apply retroactively. Joesph Elkanich was convited on three counts of seeling narcotics but bills seized durign a search of his apartment occurred after his arrest. Question: does Chimel v Californiaapply retroactively to arrest and searches. Court ruled that it did not. ,Ordered liberty applies since the Court must balance the fairness of applying new protections to individuals whose cases are already final against the interest of the legal ssytem in maintaining finality in its decisions. ,1,Marshall,concurring in part and dissenting in part.,1,"4, 5, 6",-,"warrant requirement (4), privilege against self incrimination (5), right to jury trial (6)",1,,0,0,0,Palko v. Connecticut
Mackey v. United States,401 U.S. 667,1971,Mackey was convicted under federal wagering tax statutes before the Marchetti v United States case that invalidated certain gambling tax provisions on 5th amendment grounds. Question of the case: does a decisions like Marchettois' that introduces new constituional protections apply to cases retroactively that are already final on direct review. Court ruled against Mackey. ,,1,Stewart ,1,1,-,5,privilege against self incrimination (court previosuly ruled that certain gambling tax provisions violated the 5th amednments proetction agaianst self-incrimination by requiring individuals to admit to engaing in illegal gambling activities in order to comply with tax laws. ,-,1,0,0,0,Palko v. Connecticut
McGautha v. California,402 U.S. 183,1971,"Two petitioners, Mcgautha and Crampton were treid seperately for unrelated murders in California and Ohio and both states allowed for a single jury to decide the guilt and sentencing in capital cases, without requiring seperate proceedings for each phase (this streamlines teh process but raises concerns) Plaitiffs argued that having a single jury could create a conflict betwenen their right to remain silent to avoid self- incrimination (protected by 5th amendment) and their desire to reduce their potential sentence by providing testimony / evidence during the same trial. Court rules in favor of the states (defendant), holding that capital cases in which a single jury decide both the guilt and penalty did not violate the Constitution. ",Ordered liberty underlies the Court's decision. The Court had to weigh the defendants constitutional rights against compelled self-incrimination and due proces righst under 14th amendment against the sate's procedures for dtereming guilt and penalty in capital cases,0,Harlan,1,1,5,-,protection against self-incrimination,1,-,1,0,0,
Rosenbloom v. Metromedia,403 U.S. 29,1971,"Rosenbloom was arrested for allegedly possessing lewd and obscene literature, and the local radio news outlet never used his name but alluded to his arrest as ""smut literature racket"" and other bad things. When Rosenbloom was acquitted of charges, he sued Metromedia for defamation. The problem of the case pits two competing interests/rights: the right to defend one's reputation and the right to free press.","Used Rosenblatt's ordered liberty to weigh two different rights against each other, finding that, especially in the case of Rosenbloom, who was a private individual (not a politician expected to be in the public eye), Rosenbloom's right to defamation damages outweighed Metromedia's right to unrestricted speech.",1,"Marshall, Stewart",3,0,-,1,unenumerated,1,4,1,0,1,Rosenblatt v. Baer
Coolidge v. New Hampshire,403 U.S. 443,1971,"In a murder case of a 14-year old girl, the New Hampshire Attorney General took charge of police activities relating to the murder. When the police applied for a warrant to search Coolidge's automobile, the Attorney General acting as the justice of peace authorized it. The question is if the warrant for the search and seizure satisfied the requirements of the 4th Amendment since the Attorney General (who was in a compromising position) was the one who issued the warrant so it wasn't a fair position. ",mentioned,1,Stewart,1,1,4th,-,illegal search and seizure ,1,-,1,1,1,Palko v. Connecticut
Wis. v. Yoder,406 U.S. 205,1972,Amish parents were convicted for violating the state's compulsory public school attendance law. ,mentioned,1,Burger,1,0,1st,-,freedom of religion,1,-,1,1,1,Palko v. Connecticut
Rosenfeld v. New Jersey,408 U.S. 901,1972,Rosenfeld addressed a public-school board meeting with profanity. A New Jersey statute prohobited the use of indecent language in public spaces so Rosenfeld was convicted as a disorderly person under this statute. ,OL in this instance is used to stress the function of law in perserving order. The judge is saying that allowing uncivilized behavior will erode public confidence in the law (which is a subtle but indispensible ingredient of OL),0,"Burger, Blackmun, and REHNQUIST",3,0,1st,-,freedom of speech ,1,-,0,0,0,Palko v. Connecticut
Roe v. Wade*,410 U.S. 113,1973,"Roe filed a lawsuot against Henry Wade, a district attorney, where she challeged a Texis law that make abortion illegal except by doctor's order to save a woman's life. Does the Constitution recognize a woman's right to terminate her pregnancy by abortion?",mentioned,1,Blackmun,1,1,"1,4,5,9",-,right of privacy,1,-,1,1,1,Palko v. Connecticut
Paris Adult Theatre I v. Slaton,413 U.S. 49,1973,"The court is asking whether obscene material in public theaters, falls within the state’s authority to regulate commerce/ “protect public welfare”, even if the theater is limited to only consenting adults. The Georgia Supreme Court said that commercial distribution of pornography to willing adults is not protected under the First Amendment, citing previous Supreme Court opinions.The Supreme Court supported that, saying that states have the power to regulate the commercial exhibition of obscene material, even if it involves consenting adults only. This regulation is deemed constitutional and falls within the state's authority to protect public welfare and morality.","in this case, ""ordered liberty"" refers to the balance between individual freedom and the state's authority to regulate activities that may harm society. The Court says that while individuals have rights to free expression and privacy, these rights are not absolute and may be subject to reasonable regulation by the state to maintain public order and morality.",0,Burger,1,0,-,14,right of privacy,0,-,0,0,0,Palko v. Connecticut
"Gertz v. Robert Welch, Inc.",418 U.S. 323,1974,"The petitioner, a reputable attorney, was set to prosecute a policeman in a murder trial, and a newspaper slandered them, implying that the atttorney was a communist. They charged Times, Inc. with libel. Ultimately decided that 1st Amendment rights protect the free press.","Quotes Rosenblatt's understanding of ordered liberty and reputation as consideration, but ultimately decides against it.",1,Powell,1,0,4,1,defamation;unenumerated privacy right,1,4,1,0,0,Rosenblatt v. Baer
"Gertz v. Robert Welch, Inc.",418 U.S. 323,1974,"The petitioner, a reputable attorney, was set to prosecute a policeman in a murder trial, and a newspaper slandered them, implying that the atttorney was a communist. They charged Times, Inc. with libel. Ultimately decided that 1st Amendment rights protect the free press.","Says that ordered liberty is not the test we should be using alone to determine 1st amendment rights and defamation, but the 14th amendment as a whole. Since free speech is deeply rooted in civilians' privileges and immunities (in the priv/imm clause), should not even think about ordered liberty.",1,Douglas,3,0,4,1,defamation;unenumerated privacy right,1,-,0,0,0,Palko v. Connecticut
"Gertz v. Robert Welch, Inc.",418 U.S. 323,1974,"The petitioner, a reputable attorney, was set to prosecute a policeman in a murder trial, and a newspaper slandered them, implying that the atttorney was a communist. They charged Times, Inc. with libel. Ultimately decided that 1st Amendment rights protect the free press.","Seems to make an argument about the 1st Amendment that mirrors the concept of ordered liberty: that complete freedom of speech will actually cause disorder, which will limit people's freedoms. Quotes Rosenblatt, saying that the protection of one's reputation and identity has to be a part of some system of ordered liberty.",0,White,3,0,4,1,defamation;unenumerated privacy right,4,-,1,0,1,Rosenblatt v. Baer
Old Dominion Branch No. 496 v. Austin,418 U.S. 264,1974,"The case involves three libel judgments against a labor union. The main question is whether these libel judgments are compatible with the freedom of speech guaranteed in federal law during labor disputes. The union made a “list of scabs” and published it in their newspaper. The Court reversed the libel judgments, stating that the newsletter's content was protected speech under federal law.","the term ""ordered liberty"" is used to emphasize the constitutional protection of freedom of speech and press against state interference. The justice speaks on that freedom of speech is not just a basic right but also a special privilege or immunity granted to all citizens of the United States. However, the justice says freedom of speech is a right protected against state interference only to the extent implied by the concept of ""ordered liberty."" This means that while freedom of speech is important, it needs to have limitations necessary for maintaining social order.",0,Douglas,2,0,-,"1,14",freedom of press,1,-,0,1,0,Palko v. Connecticut
"Paul v. Davis, 424 U.S. 693",424 U.S. 693,1976,"In Paul v. Davis, Justice Brennan used Stewart’s concurrence in Rosenblatt in dissent against the holding’s affirmation that the Due Process Clause does not protect individuals from having their mugshots posted publicly by police officers. Since criminals are vilified in our country, Brennan argued that this violated human dignity, which should rest high in any scheme of ordered liberty and must be protected. ","Says that this right to privacy from the disclosure of one's arrest in public areas is nothing like the things that ordered liberty has protected in the past (like marriage, contraception, abortion), so it is not considered private and incorporated through the 4th and 14th amendments",0,Rehnquist,1,1,4,-,unenumerated,4,-,0,0,0,"Palko v. Connecticut,Roe v. Wade"
"Paul v. Davis, 424 U.S. 693",424 U.S. 693,1976,"In Paul v. Davis, Justice Brennan used Stewart’s concurrence in Rosenblatt in dissent against the holding’s affirmation that the Due Process Clause does not protect individuals from having their mugshots posted publicly by police officers. Since criminals are vilified in our country, Brennan argued that this violated human dignity, which should rest high in any scheme of ordered liberty and must be protected. ","Since criminals are vilified in our country, Brennan argued that this violated human dignity, which should rest high in any scheme of ordered liberty and must be protected.",0,Brennan,3,1,4,-,unenumerated,4,-,1,0,1,Rosenblatt v. Baer
United States v. Janis,428 U.S. 433,1976,"A person sued because their tax return was taken by the police using a warrant that was originally supposed to be to search for illegal gambling materials. The taxpayer sued to get his money back, the district court agreed with them because most of the evidence the IRS used to claim the money was gathered illegally (the search warrant). The U.S. The Supreme Court reversed, the main question being whether ""exclusionary rule,"" applies in civil cases. The Supreme Court ruled that evidence obtained illegally could still be used in a federal civil court because the value of the evidence in resolving civil disputes outweighed the benefits of excluding it.","OL was used in the opinion to discuss the importance of the exclusionary rule, the existence of the rule maintains a free but orderly society. Blackmun first uses the concept of ""ordered liberty"" to contextualize the need for balancing individual rights against societal interests. However, ultimately he argues against extending the exclusionary rule to federal civil cases. He states that there would be high societal costs of excluding relevant evidence, applying the exclusion rule to more situations would create more problems for society without enough benefits in return",0,Blackmun,1,1,4,-,unreasonable search and seizure,1,-,1,0,0,Rochin v. California
Stone v. Powell,428 U.S. 465,,,,,,,,,,,,,,,,
Bykofsky v. Middletown,429 U.S. 964,1976,"An ordinance in Middletown, Pennsylvania imposed a universal curfew on minors which made it illegal for them to be out on the street past a certain time, and for parents to knowingly or through negligence allow them to do so. The majority dismissed the case, while the dissent argued that it was necessary for the court to rule on this issue.",The freedom for minors to leave their house fall under ordered liberty?,0,Marshall,3,1,-,-,due process,1,-,1,0,0,Palko v. Connecticut
Whalen v. Roe,429 U.S. 589,1977,"In 1972, New York State passed an act mandating that digital records (name, address, drug, dosage, pharmacy, etc) be kept of anyone who was prescribed a Schedule II substance (one with high capacity for abuse but with medical use) in a centralised database. The court ruled unanimously that this did not constitue a violation of the right to privacy.","Is the ""zone of privacy"" around medical records, which is a part of ordered liberty, violated by this law?",1,Stevens,1,0,-,-,due process,1,-,1,0,0,Palko v. Connecticut
"Ingraham v. Wright, 430 U.S. 651",430 U.S. 651,1977,"Two students in Florida, through their parents, sued certain school officials and the school for having administered corporal punishment (paddling), arguing that this was a violation of their 8th Amendment protections against cruel and unusual punishment. The court found in favour of the school, arguing that the 8th applied specifically to those convicted of a crime, and also that school officials are under public scrutiny and are limited in their actions by the requirement that any punishment be ""reasonably necessary"".",The right to personal security protecetd in the 4th amendment falls under ordered liberty,1,Powell,1,1,4,-,protection of physical security,1,-,1,0,0,Wolf v. Colorado
Moore v. East Cleveland,431 U.S. 494,1977,"Zoning law on nuclear family, the ruling opinion determined that restricting notions of what the family is to the ""nuclear family,"" and restricting what kind of blood relatives can live together in one household, is arbitrary and therefore against due process.","Dissenting, Stewart says that ""extended family"" is not implicit in ordered liberty, which has been used in cases of family privacy.",0,"Stewart, Rehnquist",3,1,4,-,unenumerated right to live with extended family/substantive due process,1,-,0,1,0,"Roe v. Wade,Palko v. Connecticut"
Moore v. East Cleveland,431 U.S. 494,1977,"Zoning law on nuclear family, the ruling opinion determined that restricting notions of what the family is to the ""nuclear family,"" and restricting what kind of blood relatives can live together in one household, is arbitrary and therefore against due process.","In his argument, White states that he believes the defendant had a means-end rationalization with a stated, defendable interest in population and traffic control. In his discussion of ordered liberty, White agrees with Stewart, stating that the right to live with extended family is not implicit in ordered liberty. ",,White,3,1,4,-,unenumerated right to live with extended family/substantive due process,1,-,0,1,0,"Palko v. Connecticut,Roe v. Wade,Paul v. Davis,Poe v. Ullman"
Roberts v. Louisiana,431 U.S. 633,1977,"A Louisianna man was convicted of killing a police officer and sentenced to death. He appealed the conviction, arguing that the Lousianna standards for the death penalty (mandatory in cases where the defendant had the intention to kill or cause great bodily harm) violated the 8th and 14th amendments. The Supreme Court found in his favour, ruling the Lousianna statute unconstitutional.","Because of police officers' specific role in ensuring the preservation of ordered libety, is it constitutional to pass a law mandating the death penalty for their murder?",1,Rehnquist,3,1,8,,cruel and unusual punishment,1,-,1,1,0,
Baker v. McCollan,443 U.S. 137,1979,"A person’s brother was arrested for narcotics (Leondard). He was using a fake ID with the brother’s name and picture, and was let out on bail. Later the brother (Linny) (not the actual person who did the narcotics crime), had an arrest warrant sent out for him. He was arrested after a minor traffic violation. After this, the brother (Linny) files a lawsuit against the sheriff saying that the petitioner “deprived” him of his constitutional rights. The supreme court reversed the judgment of the appeals court because they stated the brother did not have a claim against the sheriff. These were the reasons the court gave: The arrest was made through a valid warrant, the constitution doesn’t obligate the sheriff to check claims of innocence especially when it’s an arrest warrant, and false imprisonment didn’t constitute a 14th amendment violation just because the petitioner was a state official (sheriff). ","Used in the concurring argument, Justice Blackmun states that the court did not take into account whether the petitioner's (the sheriff) actions violated the concept of ordered liberty or ""shocks the conscience"". He says that the Court's opinion did not talk about the possibility of deliberate failure by police/ law enforcement to check identities, which could constitute a due process violation. Overall, he agrees with the opinion because the actions of the sheriff were not deliberate, but procedural and did not completely violate the respondent’s (the brother) rights.",0,Blackmun,2,1,-,-,due process,1,-,1,0,1,Palko v. Connecticut
Richmond Newspapers v. Virginia,448 U.S. 555,1980,"A defendant’s lawyer requested that the trial be closed to the public, and the prosecutor agreed. Virginia law allows the exclusion of people if they interfere with a fair trial, so the courtroom was cleared except for witnesses. Reporters were there, asking for a hearing to cancel the closure, but they were denied. Later, after the case was done, appealed to the state supreme court, they dismissed the case. The Supreme court agreed that the closure order violated the public and press's First and Fourteenth Amendment rights to access criminal trials.","n Brennan’s concurring argument, ordered liberty is just mentioned. He uses it to say that because the U.S. is a place founded by the idea of ordered liberty, people should know they are governed equally. There is no legal context, he is simply stating that ordered liberties exist in America",1,Brennan,2,0,1,1,freedom of the press,-,-,-,-,-,-
Kolender v. Lawson,461 U.S. 352,1983,"A person has been arrested multiple times but only convicted twice under a statute that requires people who loiter on the streets (assuming homeless individuals) to provide “credible and reliable” identification when approached by police officers. The person took civil action, the district court said that even though it was unconstitutional, he could not recover damages because the officers acted in “good faith.” The court ruled that the stature was unconstitutional because it is too vague under the 14th amendment and does not clarify what is “credible and reliable” identification.","Ordered liberty is just mentioned in the opinion. It is mentioned to support the idea that the constitution was created to “maximize individual freedoms” and doing so, follows the concept of ordered liberty. There is no actual legal action/justification that uses ordered liberty, it is simply just used to emphasize the purpose of the constitution. ",1,O’Connor,1,1,-,-,due process,-,-,1,1,1,-
Whisenhunt v. Spradlin,464 U.S. 965,1983,"The case was denied certioriari, but Brennan (Marshall, and Blackmun) dissented. Two police officers, a sargeant and a patrolwoman, began dating, which was against a Texas statutory law, but this was a common thing that happened, and lieutenant condoned the relation. Another liieutenant found out, conducted an investigation, and decided to demote the sargeant and patrolwoman, sanctioning them without warning. Brennan stated that the vagueness of the statute and the lack of warning violated due process.",Said that reasonable notice was a part of ordered liberty.,0,"Brennan, Marshall, Blackmun",3,1,-,-,due process,1,-,1,0,1,-
United States v. Leon,468 U.S. 897,1984,"Law enforcement officers obtained a search warrant but it was later found invalid be cause it lacked probabale cause. Despite ths, the evidence seized during the search was still admitted at trial. Question: is there a ""good faith"" excpetion to the exclusionary rule? Court ruled in favor of United States, holding that the evidence obtained by officers acting in good faith reliance of a warrent later found to be invalid could still be used in court (""good faith"" excpetion to exclsuionary rule"") ",Ordered liberty used to balance teh need for law enforcement to conduct searches and seizures with the need to protect indivisual rights and deter police misconduct. ,0,"Brennan, Marshall",3,1,4,,,,,,,,
Wallace v. Jaffree,472 U.S. 38,1985,Three of Jaffree's children attended public schools in Alabama in which a law authoroized teachers to conduct regular religious prayer services and activities in shcool classrooms durign the school day. Question: Did Alabama law violate the First Amendment's Establishment Clause? Court ruled in favor of Jaffree. who had ragued that the Alabama statute violated the Establishment Clause of the First Amendment. ,Ordered liberty used to balance individual's rights to religious freedom and the interpretation of the constitutional provision and its application to the Alabama statute whih allowed a period of silence for meditation or prayer in school.,0,O'Connor ,2,0,-,1,freedom of religion,1,,1,1,1,Cantwell v. Connecticut
Dun & Bradstreet v. Greenmoss Builders,472 U.S. 749,1985,"A credit reporting agency incorrectly reported that a construction contractor filed for bankruptcy. Because of this, the contractor sued under defamation. Previous courts found that Gertz's test, which required evidence of actual malice, did not apply in this case because the reporting agency is not the press and therefore are not as protected by 1st Amendment rights.","Using Stewart's concurring opinion in Rosenblatt, O'Connor concluded that the vested 1st Amendment interest is not as important in this case bcause the speech came from a non press entity, so the ""the individual's right to the protection of his own good name"" is weighed more important than the 1st Amendment right.",0,"Powell, O'Connor, Rehnquist",1,0,4,1,defamation,1,4,1,1,1,"Gertz v. Robert Welch, Inc.,Rosenblatt v. Baer"
Dun & Bradstreet v. Greenmoss Builders,472 U.S. 749,1985,"A credit reporting agency incorrectly reported that a construction contractor filed for bankruptcy. Because of this, the contractor sued under defamation. Previous courts found that Gertz's test, which required evidence of actual malice, did not apply in this case because the reporting agency is not the press and therefore are not as protected by 1st Amendment rights.","In his concurring opinion, White discusses his qualms with the New York Times's standard, which requires actual malice or reckless negligence in order to punish media outlets for making false statements. White presents Stewart's quote in Rosenblatt, saying that it is deeply important, and a defamed individual has little avenues for redress.",0,White,2,0,4,1,defamation,1,4,1,1,1,"Gertz v. Robert Welch, Inc.,Rosenblatt v. Baer"
United States v. Bagley,473 U.S. 667,1985,Bagley was convicted of conspiracy to distribute heroin. The prosecution failed to disclose that a key witness had been promised a reduced sentence in exchange for his testimony despite the defense requesting disclosure of any agreemnets or promises made by the government in regards to their testimony. Bagley argued this failure to disclose the promise was a vioaltion of his due process rights under the Fifth Amendment. Court ruled in favor of Bagley. ,Ordered liberty was used to balance the right to a fair trial and maintaining a well-regulated society. ,0,Blackmun,1,1,5,,due processs cluase,1,,1,1,1,Napue v. Illinois
Phila. Newspapers v. Hepps,475 U.S. 767,1986,"A local newspaper said that Hepps, a major stockholder in a company, was involved in corruption and organized crime, and Hepps sued for defamation. The court ruled in favor of Philadelphia Newspapers, saying that it did not pass the Gertz test--that the liberty interest of free press outweighed the liberty interest of Hepps and the other stockholders.","Stevens wrote the dissenting opinion, disagreeing that we should not place the burden of proof on the private (non-public) individual, and he quoted Stewart in Rosenblatt.",0,"Stevens, Burger, Rehnquist, White",3,0,1,-,defamation,1,4,1,0,1,Rosenblatt v. Baer
Griswold v. Connecticut,476 U.S. 747,1986,"Pennsylvania enacted legislation called the Pennsylvania Abortion Control Act of 1982 that restricted the right to an abortion in the following ways: ""informed consent"" must be provided, information must be disseminated that explains the risks of abortion, all procedures must be reported (these reports can become available to public inspection), and presence of a second physician if the abortion occurs after viability. Appelles stated that the act violated the Federal Constitution, the Court had to decide whether the Act violate the right to privacy of individuals in Pennsylvania. ","Rehnquist states that while abortion is a liberty and that he believes in a woman's right to an abortion, he does not believe that it should be considered as a fundamental liberty because it is not explicitly stated as such in the Constitution. He states that if a fundamental liberty is not explicityl stated within the Constitution taht it must be implicit within the context of ordered liberty or ""deeply rooted in this country's history and tradition"" which he states the right to abortion is neither.  He references the fact that there are many people on either side of the abortion debate therefore signifying that it could not be a fundamental liberty",0,Rehnquist,3,1`,-,-,-,2,1,0,1,0,"Palko v. Connecticut,Griswold v. Connecticut"
Bowen v. Roy,476 U.S. 693,1986,"Two parents and their daughter from Pennsylvania were receiving government aide for food and other benefits, government policy stated that each member of the family needed to provide their social security numbers, but the parents refused to provide their daughter's SSN because they said that it would violate their religious beliefs, the government stopped giving aid for their daughter and they went to court referencing the free association clause of the First Amendment. The Supreme Court decided that the government should continue to provide the fmaily with benefits but refused to pay the family damages.","Burger states that the First Amendment guarantee of free exercise of religion is critical to our nation's ""scheme of ordered liberty""",1,Burger,1,0,-,1,freedom of religion,1,-,1,1,1,-
Memphis Cmty. Sch. Dist. v. Stachura,477 U.S. 299,1986,A tenured teacher showed sexually explicit pictures and films in his seventh grade life science classroom but was suspended after parents complained. He claimed that this suspension was a violation of his First Amendment right to academic freedom ,"Powell references the Carey v. Piphus decision and how the right to due process was deemed essential to ""the system of ordered liberty""",1,Powell,1,-,-,1,academic freedom,1,-,1,1,1,Carey v. Piphus
Bowers v. Hardwick,478 U.S. 186,1986,"Hardwick was observed by a Georgia police officer while engaging in an act of consnesual homosexual sodomy with another adult in his bedroom. He was charged with violating a Georgia statute that criminalized sodomy. Does the Constitution confer a fundamental right upon homosexuals to engage in consensual sodomy, thereby invalidating the laws of many states which make such conduct illegal?",Ordered liberty was only mentioned to say it doesn't apply to this case. ,1,White,1,1,-,-,-,1,-,0,0,0,"Palko v. Connecticut,Moore v. East Cleveland"
Truesdale v. Aiken,480 U.S. 527,1987,"This is a retroactive application case that ended in favor of the criminal defendant. The opinion was less than a paragraph long without much to say, but the dissent drew from Harlan's opinion in Mackey v. United States to prove that we should not retractively apply rulings willy nilly.","Powell draws from J. Harlan in Mackey v. United States, saying that in general, justices should respect the law of the time and allow for decisions to remain final. Powell believes that this is the more convincing and appropriate way of doing it. In the footnotes, Powell continues quoting the same opinion of Harlan, saying that one of two exceptions to this rule are the nonobservance of criminal procedures which are implicit to ordered liberty.",1,"Powell, Rehnquist, O'Connor",3,-,-,-,-,1,-,0,0,0,Mackey v. United States;Palko v. Connecticut
United States v. Salerno*,481 U.S. 739,1987,Two defendants were indicted on various charges (including racketerring and conspiracy to commit murder.) the government sought pretrial detention but there was an argument that detaining individuals solely to prevent future crimes violated substantive due process. the courts ultimately upheld the constitutionality of the bail reform act. ,"ordered liberty was used as a standard to measure the constiutionality of government actions. it was used to justify the constitutionality of the bail reform act as they reasoned that detention was used only if the government can show that the accused poses a danger to others, falling under the regulatory side of punitive vs regulatory distinction. They argued that Congress didn't mean to intend pretrial detention as a punishment but rather as a means to address a societal problem. ",0,Rehnquist,1,1,"5,8",-,"due process, bail clause",1,-,0,0,0,Palko v. Connecticut
United States v. Salerno*,481 U.S. 739,1987,Two defendants were indicted on various charges (including racketerring and conspiracy to commit murder.) the governmen sought pretrial detention but there was an argument that detaining individuals solely to prevent future crimes violated substantive due process. ,presumption of innocence is implicit in the concept of ordered liberty,0,"Marshall, Brennan",3,1,"5,8",-,"due process, bail clause",1,-,1,0,1,Palko v. Connecticut
Yates v. Aiken,484 U.S. 211,1988,"Two men, armed, robbed a store. One of them, upon leaving, fatally injured the shop owner's mother, and was himself killed. The other was convicted of armed robbery and sentenced to death. However, he appealed this sentence on the basis that the jury was given incorrect instructions (this was found to be true by the South Carolina Supreme Court). This appeal was denied by lower courts, but the Supreme Court, in a unanimous decision, ordered that an appeal must be granted based on these misleading jury instructions.",Constitutional decisions made by the court are applicable in the case where this decision upholds the principles of ordered liberty.,1,Stevens,1,1,-,-,due process,1,-,-,1,-,Mackey v. United States
Thompson v. Oklahoma,487 U.S. 815,1988,"A 15 year old boy in Oklahoma was convicted of brutually murdering his sister's abusive husband, and was setencted to death (!!). In his appeal, he argued that the death sentence applied to minors under the age of 16 violated the 8th and 14th amendments. The court agreed, and his death sentence was overturned.","""The practices of other nations, particularly other democracies, can be relevant to determining whether a practice uniform among our people is not merely a historical accident, but rather so ""implicit in the concept of ordered liberty"" that it occupies a place not merely in our mores but, text permitting, in our Constitution as well."" (footnote 4, pg. 868)",1,Scalia,3,1,8,-,cruel and unusual punishment,1,2,0,1,1,Palko v. Connecticut
Teague v. Lane*,489 U.S. 288,1989,"A Black man petitioned for a mistrial because the prosecutor used all 10 of his peremptory challenges to remove each Black jury member, ensuring each jury member was white. After the demand for retrial was denied, Batson v. Kennedy concluded that having a representative jury (without racial discrimination) was a constitutional right. The petitioner asked for the court to retroactively apply this, but another case, Allen v. Hardy, determined that it could not be retroactively applied. The Court concluded that the finality of court decisions is essential for due process of law especially in criminal law. Ultimately, this case developed the Teague watershed rule. ","Really drawing on Harlan's opinion (concurring in part and dissenting in part) in Mackey, the Teague court designed the ""Teague"" test for determining retroactive laws. The two possible criteria: if legislative authority cannot proscribe certain behavior or if potential retroactive law is implicit in ordered liberty. The Court does not simply import ordered liberty into retroactive cases, it brings it in with a modification. Ordered liberty, in this part of law, only applies retroactive laws that are imperative to the accuracy of determining guilt or innocence in a case.",0,"O'Connor, Rehnquist, Scalia, Kennedy",1,1,6,-,unenumerated right to a representative jury,5,1,0,0,0,"Mackey v. United States,Palko v. Connecticut"
Teague v. Lane,489 U.S. 288,1989,"A Black man petitioned for a mistrial because the prosecutor used all 10 of his peremptory challenges to remove each Black jury member, ensuring each jury member was white. After the demand for retrial was denied, Batson v. Kennedy concluded that having a representative jury (without racial discrimination) was a constitutional right. The petitioner asked for the court to retroactively apply this, but another case, Allen v. Hardy, determined that it could not be retroactively applied. Ultimately, this case developed the Teague watershed rule.","Ordered liberty is in a the quote from Harlan in Mackey, and ",1,"White, Stevens, Blackmun",2,1,6,-,unenumerated right to a representative jury,1,5,1,0,1,"Mackey v. United States,Palko v. Connecticut"
Teague v. Lane,489 U.S. 288,1989,"A Black man petitioned for a mistrial because the prosecutor used all 10 of his peremptory challenges to remove each Black jury member, ensuring each jury member was white. After the demand for retrial was denied, Batson v. Kennedy concluded that having a representative jury (without racial discrimination) was a constitutional right. The petitioner asked for the court to retroactively apply this, but another case, Allen v. Hardy, determined that it could not be retroactively applied. Ultimately, this case developed the Teague watershed rule.","Argues that racial discrimination does affect the public's opinion on the administration of justice, and this supposedly undermines an ordered liberty",1,"Stevens, Marshall",3,1,6,-,unenumerated right to a representative jury,1,5,1,0,1,-
