Supreme Court Case,citation,year,about,OL_context,just_mentioned,author,opinon,DPC,am_inc,other_am,clause_law,kind_1,kind_2,OL_includes,act_protect,OL_protect,drew_from_1,drew_from_2,Quotes,notes,,,,how used,notes
Ker v. California,374 U.S. 23,1963,"After seeing a man purchase cannabis, a group of police officers entered his home silently without a warrant, found the cannabis, and arrested the man and his wife. The defendants were convicted, but sought to overturn the ruling on the basis that it violated their 4th amendment protection from unreasonable search and seizure. The Supreme Court upheld their conviction.",Is protection from unreasonable search and seizure covered under ordered liberty?,0,Harlan,2,1,4,,unreasonable search and seizure,1,,1,0,0,Wolf v. Colorado,," “State searches and seizures, on the other hand, have been judged, and in my view properly so, by the more flexible concept of ""fundamental"" fairness, of rights ""basic to a free society,"" embraced in the Due Process Clause of the Fourteenth Amendment.” (pg. 45)",,,,,,
Malloy v. Hogan,378 U.S. 1,1964,"The petitioner had pleaded guilty to a gambling misdemenor and was then ordered to testify in Connecticut court about gambling and other criminal actvities. He refused, saying that his answers might incriminate him. He was held in contempt and committed to prision until he testified. The state court denied application for writ of habeus corpus because Fifth Amendment protections(privliege against self incrimination) did not apply to state court. On certiorari, SC held that 14th guarenteed 5th protections. The 5th Amendment's self incrimination clause was incorported into the state courts.",OL was quoted from two cases in the dissenting opinion to show how the 5th Amendment had not been incorporated and should not continue the incoroportation of Amendments 1-8,1,Harlan,3,1,5,-,protection against self incrimination,-,-,0,1,0,Lisbena v. California,Palko v. Connecticut,"""In Lisenba v. California, 314 U.S. 219, the privilege  [***666]  against self-incrimination is not mentioned. The relevant question before the Court was whether ""the evidence [of coercion] requires that we set aside the finding of two courts and a jury, and adjudge the admission of the confessions so fundamentally unfair, so contrary to the common concept of ordered liberty, as to amount to a taking of life without due process of law.""
""Relying heavily on Twining, Mr. Justice Cardozo provided what may be regarded as a classic expression of this approach in Palko v. Connecticut, supra. After considering a number of individual rights (including the right  [*23]  not to incriminate oneself) which were ""not of the very essence of a scheme of ordered liberty,"" id., at 325, he said:""We reach a different plane of social and moral values when we pass to the privileges and immunities that have been taken over from the earlier articles of the federal bill of rights and brought within the Fourteenth Amendment by a process of absorption. These in their origin were effective against the federal government alone. If the Fourteenth Amendment has absorbed them, the process of absorption has had its source in the belief that neither liberty nor justice would exist if they were sacrificed."" Id., at 326. [****40]""","both references to ordered liberty were through mentions of other cases, and were used in the dissenting opinion to say that the Fifth Amendment has not been incorporated into the state courts and should not be incorporated into the state courts because there were not relevent to ordered liberty (see quote from Palko v Connecticut)",,,,,
Linkletter v. Walker,381 U.S. 618,1965,"Victor Linkletter was convicted based upon evidence that was obtained illegally (in violation of the 4th amendment). He sought a retrial arguing that the Mapp vs Ohio case, which barred the use of evidnce obtained in violation of the 4th amendment, should apply to his case retroactively. Court ruled the Mapp decision (exclusioanry rule) would not apply to Linkletter. Question: Did exclusioanry rule appy rectroactively? ",Used to weigh the benefits of applying the exclusionary rule rectroactively against the stability of prior convictions (which would be altered if all rule could be applied retroactively) and the impact on justice administration. ,0,Clark,1,1,4,,unreasonable search and seizure,1,,1,0,0,Mapp v. Ohio,,"""[T]he assurance against unreasonable . . . searches and seizures would be 'a form of words,' valueless and undeserving of mention in a perpetual charter of inestimable human liberties. . . .""
367 U.S. at 367 U. S. 655. The Court went on to indicate its belief that the rule was ""implicit in the concept of ordered liberty,'"" id. at 367 U. S. 655
Page 381 U. S. 650
and that it is an ""essential ingredient"" of the constitutional guarantee. Id. at 367 U. S. 651. If the exclusionary rule has the high place in our constitutional plan of ""ordered liberty,"" which this Court in Mapp and other cases has so frequently said that it does have, what possible valid reason can justify keeping people in jail under convictions obtained by wanton disregard of a constitutional protection which the Court itself in Mapp treated as being one of the ""constitutional rights of the accused""?""","Not all constitutional rulings are applied retroactively,  Clark who wrote majority opinion argyed this decision to apply ruling retroactively depends on the purpose of the new rule, the reliance by law enforcement on the old rule, and the effect on the administartion of justice of a retroactive application of the new rule",,,,,
Griswold v. Connecticut,381 U.S. 479,1965,"Estelle Griswold, the executive director of the Planned Parenthood League of Connecticut, adn Dr. C. Lee Buxton were convicted under the Connecticut Law (that prohibited the use of contraceptives, even by married couples) for provding contraceptive advice and services to married couples. They appealed their conviction by arguing that the law infrigned upon the constitutional rights of marrried couples. The case argued wether the Connecticut law violated married couple's right to privacy.  The case invoked the 1st, 3rd 4th, 5th, and 9th amendmemts which were used to argue that married couples had the right t make their own decisions without governement intervention. Court ruled in favor of plaitiffs, that the statute violated right to marital privacy. ","Used to argue that the right to privacy in martial relations is a fundamental right  (so rooted in the conscience of our people) that without it, freedom and liberty can't exist in an ordered society. Douglas argued that the right to privacy is related to several Bill of Rights protections, implying that without this right, the Bill of Righst would not have a lot of meaning. Argued that the autonomy over personal desicions is essential for the integrity of individuals in a free society, and this decision should be free from government intervention. ",0,Harlan,2,1,"1, 3, 4, 5, 9",-,"due process clause (prohbits states from depriving any person of ""life, liberty, or property"" without due process of law ",1,,1,1,1,Palko,,"""In my view, the proper constitutional inquiry in this case is whether this Connecticut statute infringes the Due Process Clause of the Fourteenth Amendment because the enactment violates basic values ""implicit in the concept of ordered liberty,"" Palko v. Connecticut, 302 U. S. 319, 302 U. S. 325. For reasons stated at length in my dissenting opinion in Poe v. Ullman, supra, I believe that it does. """,,,,,,
Estes v. Texas,381 U.S. 532,1965,"Billy Sol Estes argued that his trial was unfair becasue of excessive media presence (inclduing live broadcasting).. Question of the case: does the media's presence violate his 6th amednemnt right to a fair trial? Court ruled inn favor of Estes, saying the media compromised the judicial process. ",OL was used to balance public acess to the court and the defendant's right to a fair trial. ,0,Warren,1,1,6,-,right to fair trial,1,,1,1,1,Palko,,"""The Fourteenth Amendment, which places limitations on the States' administration of their criminal laws, also gives content to the term ""trial."" Whether the Sixth Amendment as a whole applies to the States through the Fourteenth, [Footnote 2/16] or the Fourteenth Amendment embraces only those portions of the Sixth Amendment that are ""fundamental,"" [Footnote 2/17] or the Fourteenth Amendment incorporates a standard of ""ordered liberty"" apart from the
Page 381 U. S. 560
specific guarantees of the Bill of Rights, [Footnote 2/18] it has been recognized that state prosecutions must at the least, comport with ""the fundamental conception"" of a fair trial.""",,,,,,
Tehan v. United States,382 U.S. 406,1966,"John Tehan was convicted of a burglary and durign the trial a proescuter commented on his failure to testify, suggesting this indicated his guilt. Tehan argued this violated his 5th amendment rights (protection against self-incrimination) as incorporated against the states through 14th amendment's due process clause. Question: does the prosecuter's comments violate his 5th amendment rights? Court ruled in favor of state, upholding his conviction. Court did not apply the Griifn v California decision retroactively to this case whihc decided that these commenst were unconstitutional. ",Underlies the Court's decision consideration of the balance between the defendant's rights and the judicial system's integrity (court case desicions cannot be applied retroactively). ,0,Clark,1,1,5,-,protection against self-incrimination,1, ,1,0,0,Wolf v. Colorado,,"""In Wolf v. Colorado, 338 U. S. 25, it was unequivocally determined by a unanimous Court that the Federal Constitution, by virtue of the Fourteenth Amendment, prohibits unreasonable searches and seizures by state officers.
""The security of one's privacy against arbitrary intrusion by the police . . . is . . . implicit in 'the concept of ordered liberty,' and, as such, enforceable against the States through the Due Process Clause.""""", ,,,,,
Rosenblatt v. Baer,383 U.S. 75,1966,"A defamation suit on a government official--was decided through the 1st Amendment that the journalist had a right to do so, and you cannot charge them unless you have proof that they are knowingly lying to destroy your reputation. Rosenblatt pitted two competing interests against each other—an individual’s interest to maintain and repair their reputation against our right to a free press (necessary to maintain a check on government power).","Even as J. Stewart agreed with the majority about upholding the respondent’s 1st Amendment right to free press, he stresses the importance of being able to defend one's reputation from slander and defamation, saying that to do so must be part of the foundation of ordered liberty.",0,Stewart,2,1,4,,unenumerated,4,,1,0,0,,,"The right of a man to the protection of his own reputation from unjustified invasion and wrongful hurt reflects no more than our basic concept of the essential dignity and worth of every human being -- a concept at the root of any decent system of ordered liberty. The protection of private personality, like the protection of life itself, is left primarily to the individual States under the Ninth and Tenth Amendments. But this does not mean that the right is entitled to any less recognition by this Court as a basic of our constitutional system.",right is the protection of reputation and the unjustified invasion/wrognful hurt,,,,,any decent system of ordered liberty
Parker v. Gladden,385 U.S. 363,1966,"As the petitioner was going through trial facing 2nd degree murder, his bailiff was telling the jury secretly that the petitioner was guilty. When the inmate filed a petition for post-conviction relief, the state supreme court denied it, then the U.S. supreme court reversed it, stating that because the bailiff was an officer of the state, his word would have significant effect on the jury violating his right to a fair trial. ","OL is mentioned in the Dissent, when Harlan is referring to one of the court cases cited in the Opinion, Pointer v. Texas, which he disagrees with.",1,Harlan,3,1,-,-,due process,-,-,1,1,1,Pointer v. Texas,,,03/17 OL notes,,,,,
"Time, Inc. v. Hill",385 U.S. 374,1967,"Time Inc v. Hill dealt with New York privacy law pertaining to a magazine’s false association of a family’s experience in a hostage situation with a theater production’s depiction of a family surviving a similar situation. The ruling decided that New York’s privacy law was constitutional, but it decided that in the trial proceedings, authorities failed to inform the jury about how liability is only assigned to either intentional or reckless falsity, so the family had to go to court once more. ","In dissent, Justice Fortas advocated for the family, saying that after many years of fighting for their privacy rights in court, they should not have to fight for it again in a lower court. To accentuate his point, Fortas drew quotes from Rosenblatt, saying “[Harlan] referred to the ‘protection of private personality, like the protection of life itself,’ as entitled to ‘recognition by this Court as a basic (sic) of our constitutional system.’” According to Harlan and Fortas, protecting individuals’ private rights from state (and other actors) infringement should be a part of our nation’s ordered liberty.",0,Fortas,3,0,1,4,"free press, unenumerated privacy",4,1,1,0,1,Rosenblatt,,,,,,,,any decent system of ordered liberty
Duncan v. Louisiana,391 U.S. 145,1968,Duncan dealt with the 6th Amendment guarantee of a jury trial applied to a simple battery case in Louisiana.,"The majority opinion, delivered by Justice White, broke away from Palko’s understanding of ordered liberty:
Earlier the Court can be seen as having asked, when inquiring into whether some particular procedural safeguard was required of a State, if a civilized system could be imagined that would not accord the particular protection. . . . The recent cases, on the other hand, have proceeded upon the valid assumption that state criminal processes are not imaginary and theoretical schemes but actual systems bearing virtually every characteristic of the common-law system that has been developing contemporaneously in England and in this country. The question thus is whether given this kind of system a particular procedure is fundamental — whether, that is, a procedure is necessary to an Anglo-American regime of ordered liberty.
Duncan’s majority latched onto a more grounded and organic ordered liberty, one that does not ask what an imaginary society could hypothetically endure (like in Palko) nor one that would only consider singular points of history (like 1868, which our current court loves to reference). Through this method of ordered liberty, the majority used both our nation’s legal history and our (at the time) current legal system’s practices of guaranteeing jury trials as evidence for why the right to a jury trial was essential to our scheme of ordered liberty. ",0,White,1,1,6,-,jury trial,3,1,1,1,1,,,,,,,,,
Duncan v. Louisiana,391 U.S. 145,1968,Duncan dealt with the 6th Amendment guarantee of a jury trial applied to a simple battery case in Louisiana.,"Agrees with majority, but calls for total incorporation above selective incorporation",0,Black,1,1,6,-,jury trial,3,1,1,1,1,Palko,Adamson,,,,,,,
Duncan v. Louisiana,391 U.S. 145,1968,Duncan dealt with the 6th Amendment guarantee of a jury trial applied to a simple battery case in Louisiana.,"Says that the right to jury trial is not implicit in ordered liberty, and says that precedent using ordered liberty had not affirmed such a right before, therefore they should not overturn this precedent needlessly",0,"Harlan, Stewart",1,1,6,-,jury trial,3,1,0,0,0,Palko,Wolf v. Colorado,"""the security of one's privacy against arbitrary intrusion by the police -- which is at the core of the Fourth Amendment -- is basic to a free society. It is therefore implicit in 'the concept of ordered liberty' and as such enforceable against the States through the Due Process Clause.""
Even so, they are not of the very essence of a scheme of ordered liberty. To abolish them is not to violate a 'principle of justice so rooted in the traditions and conscience of our people as to be ranked as fundamental.' . . . Few would be so narrow or provincial as to maintain that a fair and enlightened system of justice would be impossible without them.""
The requirement of trial by jury in federal criminal cases has given rise to numerous subsidiary questions respecting the exact scope and content of the right. It surely cannot be that every answer the Court has given, or will give, to such a question is attributable to the Founders; or even that every rule announced carries equal conviction of this Court; still less can it be that every such subprinciple is equally fundamental to ordered liberty.
Numerous other cases in this Court have assumed that jury trial is not fundamental to ordered liberty.
The argument that jury trial is not a requisite of due process is quite simple. The central proposition of Palko, supra, a proposition to which I would adhere, is that ""due process of law"" requires only that criminal trials be fundamentally fair. As stated above, apart from the theory that it was historically intended as a mere shorthand for the Bill of Rights, I do not see what else ""due process of law"" can intelligibly be thought to mean. If due process of  [****68]  law requires only fundamental  [*187]  fairness, 28Link to the text of the note then the inquiry  [**1469]  in each case must be whether a state trial process was a fair one. The Court has held, properly I think, that in an adversary process it is a requisite of fairness, for which there is no adequate substitute, that a criminal defendant be afforded a right to counsel and to cross-examine opposing witnesses. But it simply has not been demonstrated, nor, I think, can it be demonstrated, that trial by jury is the only fair means of resolving issues of fact.""the security of one's privacy against arbitrary intrusion by the police -- which is at the core of the Fourth Amendment -- is basic to a free society. It is therefore implicit in 'the concept of ordered liberty' and as such enforceable against the States through the Due Process Clause.""",,,,,,
Foster v. California,394 U.S. 440,1969,"The petitioner was convicted for robbery. In the first lineup, the sole eye witness was not sure if the petitioner was the robber, his physical descriptions did not match, and the police gave the witness the opportunity to talk one-on-one with the petitioner without any legal counsel present. The witness did not confirm that this was the robber. Then they had a second lineup with the petitioner being the only repeat man on lineup, suggesting and insinuating to the witness that the petitioner was the robber, but the witness still did not confirm until later during the actual trial. The opinion of the supreme court said that the first lineup was inconsequential but the second lineup had suggestive elements violating the right to due process leading them to reverse the conviction","n the dissent, Black uses ordered liberty to disagree with the power of the court in this scenario to have just a broad interpretation of due process. Through the dissent, Black disagrees with the ambiguity of the Court. Even though the court reversed the conviction, there was no specifics on what would happen in a retrial. Overall, Black challenges the Court's use of the ""totality of circumstances"" standard to determine the fairness of identification procedures. He suggests that the Court is using subjectivity when determining fairness, and wants a more restrained interpretation of due process. He says that when the court believes something is “unfair” it is contrary to ideas implicit in ordered liberty, but in this scenario, they pushed the bounds and added their own subjectivity. ",0,Black,3,1,1,-,due process,1,-,1,1,0,-,-,,03/17 OL notes,,,,,
In re Winship,397 U.S. 358,1970,"A 12-year old boy was found to have stolen money. The judge who sent this boy to 6 years of juvenile confinement said that his determination was based on a “preponderance of the evidence.” This means that the evidence presented by one side is more convincing or persuasive than the evidence presented by the opposing side. This standard of proof is lower than ""beyond a reasonable doubt,"" which is the standard typically required in criminal trials where a person's liberty is at stake. It established the fact that a juvenile facing the potential loss of liberty needs to have the same standard as required in adult criminal trials. ","Used in the Dissent, Black uses the term ordered liberty to express how OL may be overused in determining what does/doesn’t follow “natural law due process.” Alongside OL, terms like ""shocks its conscience,"" Black says the court is stepping over the limited powers that the government gave them. Due process of law in this case was given, “an unjustifiably broad interpretation” ",0,Black,3,1,1,-,due process,1,-,1,1,0,palko,,,03/17 OL notes,,,,,
Illinois v Allen,397 U.S. 337,1970,"Allen was charged for armed robbery. During his trial, he had bbeen disruptive to the court procedure, using vile and vulgar language, and he was warned and then removed from the court procedings twice. Is it unconstitutional for a judge to remove a defendant for misconduct from his trial when warned of such removal if his behavior is repeated? The majority opinion ruled that it was constitutional.","In his concurring opinion, Justice Brennan stresses that the state's right to bring a person to trial is foundational to ordered liberty and achieving social justice.",1,Brennan,2,0,-,-,state right,1,-,1,1,1,-,-,"Constitutional power to bring an accused to trial is fundamental to a scheme of ""ordered liberty"" and prerequisite to social justice and peace. History has known the breakdown of lawful penal authority -- the feud, the vendetta, and the terror of penalties meted out by mobs or roving bands of vigilantes. It has known, too, the perversion of that authority.
Lincoln said this Nation was ""conceived in liberty and dedicated to the proposition that all men are created equal."" The Founders' dream of a society where all men are free and equal has not been easy to realize. The degree of liberty and equality that exists today has been the product of unceasing struggle  [***362]  and sacrifice. Much remains to be done -- so much that the very institutions of our society have come under challenge. Hence, today, as in Lincoln's time, a man may ask ""whether [this] nation or any nation so conceived and so dedicated can long endure."" It cannot endure if the Nation falls short on the guarantees of liberty, justice, and equality embodied in our founding documents. But it also cannot endure if we allow our precious heritage of ordered liberty to be ripped apart amid the sound and fury of our time. It cannot endure if in individual cases the claims of social peace and order on the one side and of personal liberty on the other cannot be mutually resolved in the forum designated by the Constitution. If that resolution cannot be reached by judicial [****21]  trial in a court of law, it will be reached elsewhere and by other means, and there will be grave danger that liberty, equality, and the order essential to both will be lost.",ordered liberty as a state being able to do its job at taking accused defendants to court reinforcing a state right (in ruling),,,,,
Williams v. Florida,399 U.S. 78,1984,"Supreme Court upheld Florida's practice of allowing criminal trials by jury of six members rather than the traditional twelve. The Court reasoned that the Sixth Amendment does not say a specific number of jurors, the jury just needs to be impartial. So, it did not violate the Sixth Amendment because it provided a fair and impartial trial.","In a dissent, Harlan uses “ordered liberty” to compare the more significant idea in this case ""selective incorporation.” The term is used once to help define the due process approach, which he states considers whether the right alleged is implicit in the concept of ordered liberty. ",1,Harlan,3,1,1,-,due process,-,-,-,-,-,Palko ,-,,03/17 OL notes,,,,,
Boddie vs Connecticut,401 U.S. 371,1971,"Plaintiffs (people who could not afford the fees to file for divorce in Connecticut) argued that the state's requirement of the fees for divorce denied them access to the court system, which was a violation of their rights under the Due Process Clause of the 14th amendment. Question of the case: could the state require fees from individuals unable to pay them? Court ruled in favor of plaitiffs. ",Ordered liberty was used to anlayze the fundamental right of access to the courts (prohibited with the fees that these individuals could not pay). Court's decision that these fees violated the Due Process Clause shows that access to legal processes is essential in maintaining ordered liberty. Individuals shoudl be able to exercise their right without unrightful government interference. ,1,Harlan,2,1,-,-,due process,1,-,1,1,1 (but concurring),Palko vs Connecticut ,,,"- No specific amendment invoked. Argument was more grounded on the Due Process Clause of the 14th amendment itself, that focused on the right to access that court (which should not hindered by financial barriers). More about ther broader principles of due process that the 14th amendment protects ",,,,,
Williams v. United States,401 U.S. 646,1971,Heroin found in Claernce Williams home was admitted at his trial when he was arrestsed ad he was convicted of concelaing illegally imported heroin. He argued that the search of his house was illegal under Chimel v California (case that narrowed the scope of searches incidental to an arrest) but The Court ruled that Chimel did not apply retroactively. Joesph Elkanich was convited on three counts of seeling narcotics but bills seized durign a search of his apartment occurred after his arrest. Question: does Chimel v Californiaapply retroactively to arrest and searches. Court ruled that it did not. ,Ordered liberty applies since the Court must balance the fairness of applying new protections to individuals whose cases are already final against the interest of the legal ssytem in maintaining finality in its decisions. ,1,Marshall,concurring in part and dissenting in part.,1,"4, 5, 6",,"warrant requirement (4), privilege against self incrimination (5), right to jury trial (6)",1,,0,0,0,Palko vs Connecticut ,,"In particular, if the purposes of a new rule implicate decisively the basic truth-determining function of the criminal trial, then I believe the rule should be given full retroactive application, for the required constitutional procedure itself would then stand as a concrete embodiment of ""the concept of ordered liberty."" Palko v. Connecticut, 302 U. S. 319, 302 U. S. 325 (1937).
In light of the above, I concur in the Court's disposition of No. 82. That case is before us on collateral review. For cases in such a posture the mode of analysis used by the plurality is appropriate, and I agree that the Chimel rule should not be applied retroactively to such cases.
No. 81 is before us on direct review. Since there is a clear violation of Chimel on the facts, I would reverse the judgment below, for I believe that the same constitutional rule should be applied to adjudicate the rights of the petitioner in No. 81 as was applied in Chimel's case.    ""MR. JUSTICE MARSHALL concluded that the judgment in No. 82 should be affirmed, as the mode of analysis in the plurality opinion is appropriate in cases here on collateral review, and the Chimel rule should not be applied retroactively in such cases.""","- This case emphasized the principle that individuals can not be convicted under vaugue laws that that laws must be clear and not overly broad -MR. JUSTICE MARSHALL concluded that the judgment in No. 82 should be affirmed, as the mode of analysis in the plurality opinion is appropriate in cases here on collateral review, and the Chimel rule should not be applied retroactively in such cases",,,,,
Mackey v. United States,401 U.S. 667,1971,Mackey was convicted under federal wagering tax statutes before the Marchetti v United States case that invalidated certain gambling tax provisions on 5th amendment grounds. Question of the case: does a decisions like Marchettois' that introduces new constituional protections apply to cases retroactively that are already final on direct review. Court ruled against Mackey. ,,1,Stewart ,1,1,-,5,privilege against self incrimination (court previosuly ruled that certain gambling tax provisions violated the 5th amednments proetction agaianst self-incrimination by requiring individuals to admit to engaing in illegal gambling activities in order to comply with tax laws. ,-,1,0,0,0,Palko vs Connecticut ,,"Secondly, I think the writ ought always to lie for claims of nonobservance of those procedures that, as so aptly described by Mr. Justice Cardozo in Palko v. Connecticut, 302 U. S. 319, 302 U. S. 325 (1937), are ""implicit in the concept of ordered liberty."" Typically, it should be the case that any conviction free from federal constitutional error at the time it became final will be found, upon reflection, to have been fundamentally fair and conducted under those procedures essential to the substance of a full hearing. However, in some situations, it might be that time and growth in social capacity, as well as judicial perceptions of what we can rightly demand of the adjudicatory process, will properly alter our understanding of the bedrock procedural elements that must be found to vitiate the fairness of a particular conviction.","- This case emphasized the importance of finality in the criminal justice system (this limits the retroactive application of new constitutional rules) - The case does not hinge on the Due Process Clasue of 14th amendment butthis concept underlies the court's analysis as it involves fairness and rights of the defendants -MR. JUSTICE WHITE, joined by THE CHIEF JUSTICE, MR. JUSTICE STEWART, and MR. JUSTICE BLACKMUN, concluded that Marchetti and Grosso are not to be applied retroactively,",,,,,
McGautha v. California,402 U.S. 183,1971,"Two petitioners, Mcgautha and Crampton were treid seperately for unrelated murders in California and Ohio and both states allowed for a single jury to decide the guilt and sentencing in capital cases, without requiring seperate proceedings for each phase (this streamlines teh process but raises concerns) Plaitiffs argued that having a single jury could create a conflict betwenen their right to remain silent to avoid self- incrimination (protected by 5th amendment) and their desire to reduce their potential sentence by providing testimony / evidence during the same trial. Court rules in favor of the states (defendant), holding that capital cases in which a single jury decide both the guilt and penalty did not violate the Constitution. ",Ordered liberty underlies the Court's decision. The Court had to weigh the defendants constitutional rights against compelled self-incrimination and due proces righst under 14th amendment against the sate's procedures for dtereming guilt and penalty in capital cases,0,Harlan,1,1,5,-,protection against self-incrimination,1,,1,0,0,,,"""Our scheme of ordered liberty is based, like the common law, on enlightened and uniformly applied legal principle, not on ad hoc notions of what is right or wrong in a particular case.""",,,,,,
Rosenbloom v. Metromedia,403 U.S. 29,1971,"Rosenbloom was arrested for allegedly possessing lewd and obscene literature, and the local radio news outlet never used his name but alluded to his arrest as ""smut literature racket"" and other bad things. When Rosenbloom was acquitted of charges, he sued Metromedia for defamation. The problem of the case pits two competing interests/rights: the right to defend one's reputation and the right to free press.","Used Rosenblatt's ordered liberty to weigh two different rights against each other, finding that, especially in the case of Rosenbloom, who was a private individual (not a politician expected to be in the public eye), Rosenbloom's right to defamation damages outweighed Metromedia's right to unrestricted speech.",1,"Marshall, Stewart",3,0,-,1,unenumerated,1,4,1,0,1,Rosenblatt,,"""The protection of the reputation of such anonymous persons ""from unjustified invasion and wrongful hurt reflects no more than our basic concept of the essential dignity and worth of every human being -- a concept at the root of any decent system of ordered liberty."" Rosenblatt v. Baer, 383 U.S. 75, 92 (1966) (STEWART, J., concurring). But the concept of a citizenry informed by a free and unfettered press is also basic to our system of ordered liberty. Here these two essential and fundamental values conflict.""",,,,,,any decent system of ordered liberty
Coolidge v. New Hampshire,403 U.S. 443,1971,"In a murder case of a 14-year old girl, the New Hampshire Attorney General took charge of police activities relating to the murder. When the police applied for a warrant to search Coolidge's automobile, the Attorney General acting as the justice of peace authorized it. The question is if the warrant for the search and seizure satisfied the requirements of the 4th Amendment since the Attorney General (who was in a compromising position) was the one who issued the warrant so it wasn't a fair position. ",mentioned,1,Stewart,1,1,4th,,illegal search and seizure ,1,,1,1,1,Palko ,,"""""The security of one's privacy against [****19]  arbitrary intrusion by the police -- which is at the core of the Fourth Amendment -- is basic to a free society. It is therefore implicit in 'the concept of ordered liberty' and as such enforceable against the States through the Due Process Clause.""","OL in this instace was used to stress the importance of one's privacy against arbitrary intrusion, saying that 4th Amendment right is implici in OL",,,,,it is unconstitutional to receive a a warrant from an attached magistrate and teh search didn't come within the plain view 
Wis. v. Yoder,406 U.S. 205,1972,Amish parents were convicted for violating the state's compulsory public school attendance law. ,mentioned,1,Burger,1,0,1st,,freedom of religion,1,,1,1,1,Palko ,,"""Although a determination of what is a ""religious"" belief or practice entitled to constitutional protection may present a most delicate question, the very concept of ordered liberty precludes  [*216]  allowing every person to make his own standards on matters of conduct in which society as a whole has important interests. Giving no weight to such secular considerations, however, we see that the record in this case abundantly supports the claim that the traditional way of life of the Amish is not merely a matter of personal preference, but one of deep religious conviction, shared by an organized group, and intimately related to daily living.""","In this specific case, while the notion of ordered liberty suggests a need for societal restrictions despite the allowance for religious freedom, the Amish couple has sufficiently demonstrated the legal basis behind their religious practices, warranting pardoning or protection under the law.",,,,,
Rosenfeld v. New Jersey,408 U.S. 901,1972,Rosenfeld addressed a public-school board meeting with profanity. A New Jersey statute prohobited the use of indecent language in public spaces so Rosenfeld was convicted as a disorderly person under this statute. ,OL in this instance is used to stress the function of law in perserving order. The judge is saying that allowing uncivilized behavior will erode public confidence in the law (which is a subtle but indispensible ingredient of OL),0,"Burger, Blackmun, and REHNQUIST",3,0,1st,,freedom of speech ,1,,0,0,0,Palko,,"""The important underlying aspect of these cases goes really to the function of law in preserving ordered liberty. Civilized people refrain from ""taking the law into their own hands"" because of a belief that the government, as their agent, will take care of the problem in an organized, orderly way with as nearly a uniform response as human skills can manage."" ""f continued, this permissiveness will tend further to erode public confidence in the law - that subtle but indispensable ingredient of ordered liberty.""",ordered liberty is used to emphasize the importance of the law in maintaining social order and preventing chaos. OL in this instance doesn't protect the individual or right to free speech.,,,,,
Roe v. Wade*,410 U.S. 113,1973,"Roe filed a lawsuot against Henry Wade, a district attorney, where she challeged a Texis law that make abortion illegal except by doctor's order to save a woman's life. Does the Constitution recognize a woman's right to terminate her pregnancy by abortion?",mentioned,1,Blackmun,1,1,"1,4,5,9",,right of privacy,1,,1,1,1,Palko,,"""These decisions make it clear that HN6 only personal rights that can be deemed ""fundamental"" or ""implicit in the concept of ordered liberty,"" Palko v. Connecticut, 302 U.S. 319, 325 (1937), are included in this guarantee of personal privacy. """,Personal privacy is included in the personal rights that are deemed fundamental or implicit in the concept of ordered liberty. ,,,,,
"Gertz v. Robert Welch, Inc",418 U.S. 323,1974,"The petitioner, a reputable attorney, was set to prosecute a policeman in a murder trial, and a newspaper slandered them, implying that the atttorney was a communist. They charged Times, Inc. with libel. Ultimately decided that 1st Amendment rights protect the free press.","Quotes Rosenblatt's understanding of ordered liberty and reputation as consideration, but ultimately decides against it.",1,Powell,1,0,4,1,defamation;unenumerated privacy right,1,4,1,0,0,Rosenblatt,-,,"Quotes Rosenblatt's understanding of ordered liberty and reputation as consideration, but ultimately decides against it.",,,,,
"Gertz v. Robert Welch, Inc",418 U.S. 323,1974,"The petitioner, a reputable attorney, was set to prosecute a policeman in a murder trial, and a newspaper slandered them, implying that the atttorney was a communist. They charged Times, Inc. with libel. Ultimately decided that 1st Amendment rights protect the free press.","Says that ordered liberty is not the test we should be using alone to determine 1st amendment rights and defamation, but the 14th amendment as a whole. Since free speech is deeply rooted in civilians' privileges and immunities (in the priv/imm clause), should not even think about ordered liberty.",1,Douglas,3,0,4,1,defamation;unenumerated privacy right,1,-,0,0,0,Palko,-,"""Continued  [***816]  recognition of the possibility of state libel suits for public discussion of public issues leaves the freedom of speech honored by the Fourteenth Amendment a diluted version of First Amendment protection. This view is only possible if one accepts the position that the First Amendment is applicable to the States only through the Due Process Clause of the Fourteenth, due process freedom of speech being only that freedom which this Court might deem to be ""implicit in the concept of ordered liberty.""""",,,,,,
